DATE,Industrial Grey WF_Semambu Area
6/21/2017,774.7432
6/22/2017,856.4392
6/23/2017,791.8002
6/24/2017,1450.7331
6/25/2017,856.4392
6/26/2017,791.8002
6/27/2017,1450.7331
6/28/2017,856.4392
6/29/2017,1549.4861
6/30/2017,774.7432
7/1/2017,557.9685
7/2/2017,568.4491
7/3/2017,557.9685
7/4/2017,507.771
7/5/2017,933.6088
7/6/2017,507.771
7/7/2017,537.9685
7/8/2017,518.2116
7/9/2017,973.3257
7/10/2017,577.8687
7/11/2017,507.771
7/12/2017,518.3516
7/13/2017,557.9645
7/14/2017,923.1282
7/15/2017,507.671
7/16/2017,514.2416
7/17/2017,568.4491
7/18/2017,923.1582
7/19/2017,507.767
7/20/2017,863.5111
7/21/2017,549.767
7/22/2017,557.9685
7/23/2017,983.5023
7/24/2017,923.1282
7/25/2017,715.0305
7/26/2017,518.2516
7/27/2017,557.9685
7/28/2017,507.781
7/29/2017,933.6088
7/30/2017,853.0302
7/31/2017,577.8687
8/1/2017,1967.2695
8/2/2017,2037.4329
8/3/2017,3007.5908
8/4/2017,2251.37
8/5/2017,1790.2845
8/6/2017,3468.6763
8/7/2017,3007.5908
8/8/2017,1790.2845
8/9/2017,1967.0395
8/10/2017,2037.4229
8/11/2017,3044.5429
8/12/2017,1790.2845
8/13/2017,1933.2216
8/14/2017,1790.2845
8/15/2017,3333.7242
8/16/2017,1812.2845
8/17/2017,2520.2845
8/18/2017,2251.51
8/19/2017,3254.7392
8/20/2017,3007.5908
8/21/2017,1790.2845
8/22/2017,2251.37
8/23/2017,1790.6845
8/24/2017,3007.0008
8/25/2017,1967.4695
8/26/2017,1827.2326
8/27/2017,3254.7392
8/28/2017,1827.2296
8/29/2017,2004.2216
8/30/2017,2037.4309
8/31/2017,1790.2845
9/1/2017,1689.6505
9/2/2017,1865.1865
9/3/2017,2958.64
9/4/2017,3167.1155
9/5/2017,1865.1865
9/6/2017,1971.425
9/7/2017,1689.6505
9/8/2017,2921.9905
9/9/2017,1971.425
9/10/2017,3342.6515
9/11/2017,1689.6505
9/12/2017,1689.6505
9/13/2017,1901.836
9/14/2017,2110.3115
9/15/2017,2921.9905
9/16/2017,1726.3
9/17/2017,2110.3115
9/18/2017,3167.1155
9/19/2017,1689.6505
9/20/2017,1726.3
9/21/2017,1865.1865
9/22/2017,3167.1155
9/23/2017,1726.3
