Date,Industrial Blue WF_Semambu Area
12/15/2016,52941.8251
12/16/2016,127566.1372
12/17/2016,113485.3575
12/18/2016,120136.3406
12/19/2016,11938.4920
12/20/2016,104486.2544
12/21/2016,43823.3801
12/22/2016,22107.3037
12/23/2016,108470.7640
12/24/2016,145978.4604
12/25/2016,12972.7565
12/26/2016,51127.4780
12/27/2016,13904.6753
12/28/2016,87982.2499
12/29/2016,97298.5825
12/30/2016,57778.4192
12/31/2016,22618.7025
1/1/2017,45989.9461
1/2/2017,102730.3285
1/3/2017,102581.7490
1/4/2017,77440.9338
1/5/2017,103000.2694
1/6/2017,68493.9566
1/7/2017,8283.1055
1/8/2017,107001.5918
1/9/2017,13743.2581
1/10/2017,98624.2725
1/11/2017,72138.6063
1/12/2017,83236.9245
1/13/2017,36041.7679
1/14/2017,58158.0018
1/15/2017,40261.4307
1/16/2017,53709.5586
1/17/2017,67093.3843
1/18/2017,18897.4212
1/19/2017,25514.6558
1/20/2017,15909.2823
1/21/2017,61807.9466
1/22/2017,31643.6358
1/23/2017,83579.0160
1/24/2017,20711.2250
1/25/2017,92654.2403
1/26/2017,105849.6042
1/27/2017,97633.0901
1/28/2017,33902.8506
1/29/2017,72795.7076
1/30/2017,62005.1355
1/31/2017,48909.1035
2/1/2017,34197.5001
2/2/2017,89956.8113
2/3/2017,7231.2733
2/4/2017,58111.8836
2/5/2017,28449.4467
2/6/2017,105651.1297
2/7/2017,36570.7686
2/8/2017,80252.7204
2/9/2017,113765.9652
2/10/2017,56700.2854
2/11/2017,93637.1704
2/12/2017,18215.9562
2/13/2017,11596.3687
2/14/2017,96962.7903
2/15/2017,80130.0313
2/16/2017,30974.5885
2/17/2017,51868.3175
2/18/2017,60624.9091
2/19/2017,105991.1158
2/20/2017,83931.4050
2/21/2017,80556.8412
2/22/2017,88354.5771
2/23/2017,112701.0027
2/24/2017,40210.5784
2/25/2017,84532.7726
2/26/2017,26665.9153
2/27/2017,26996.2404
2/28/2017,50807.6353
3/1/2017,124744.9552
3/2/2017,71282.4568
3/3/2017,18975.1368
3/4/2017,56527.6352
3/5/2017,35077.8248
3/6/2017,83568.0153
3/7/2017,112234.0063
3/8/2017,96631.6224
3/9/2017,90636.9604
3/10/2017,68183.9995
3/11/2017,30206.6343
3/12/2017,20462.9089
3/13/2017,29441.0909
3/14/2017,32420.8347
3/15/2017,114843.4429
3/16/2017,41483.7323
3/17/2017,84910.5003
3/18/2017,13644.5398
3/19/2017,18662.1059
3/20/2017,12274.7086
3/21/2017,34648.7192
3/22/2017,108518.7243
3/23/2017,128445.0974
3/24/2017,114992.9753
3/25/2017,33156.8910
3/26/2017,70385.1069
3/27/2017,104397.9580
3/28/2017,130953.3217
3/29/2017,85917.2278
3/30/2017,67342.2078
3/31/2017,12753.6593
4/1/2017,93174.4343
4/2/2017,80233.7919
4/3/2017,17897.7724
4/4/2017,67264.6279
4/5/2017,91573.1887
4/6/2017,84739.3271
4/7/2017,112958.0076
4/8/2017,22896.2807
4/9/2017,8030.5582
4/10/2017,89492.6387
4/11/2017,37180.5153
4/12/2017,84052.0789
4/13/2017,60781.5375
4/14/2017,101838.4015
4/15/2017,130966.6484
4/16/2017,39556.5208
4/17/2017,33181.3990
4/18/2017,124378.2228
4/19/2017,77500.4284
4/20/2017,70944.7517
4/21/2017,19147.6383
4/22/2017,69478.3326
4/23/2017,49118.9975
4/24/2017,46073.1615
4/25/2017,56247.6016
4/26/2017,85154.9999
4/27/2017,122883.6838
4/28/2017,95326.6001
4/29/2017,93610.1347
4/30/2017,93398.7182
5/1/2017,121124.2815
5/2/2017,20494.8576
5/3/2017,31679.3572
5/4/2017,84922.5981
5/5/2017,126015.9426
5/6/2017,45037.4076
5/7/2017,18396.1363
5/8/2017,123852.9501
5/9/2017,110467.0325
5/10/2017,114661.6500
5/11/2017,46964.2414
5/12/2017,98204.0664
5/13/2017,26079.1266
5/14/2017,119814.1022
5/15/2017,91696.8787
5/16/2017,69872.4768
5/17/2017,10212.9111
5/18/2017,82963.4463
5/19/2017,88388.9819
5/20/2017,12987.2000
5/21/2017,34545.1729
5/22/2017,82041.0176
5/23/2017,114271.7688
5/24/2017,48102.5284
5/25/2017,9648.6769
5/26/2017,89012.7456
5/27/2017,26380.3432
5/28/2017,88270.0638
5/29/2017,28315.7276
5/30/2017,47852.5443
5/31/2017,11093.7661
6/1/2017,105625.1082
6/2/2017,9401.4828
6/3/2017,61535.1212
6/4/2017,27750.5887
6/5/2017,148722.3782
6/6/2017,12717.6863
6/7/2017,111996.8082
6/8/2017,79259.6884
6/9/2017,124852.3267
6/10/2017,87933.8919
6/11/2017,25597.8640
6/12/2017,50614.1513
6/13/2017,65515.2318
6/14/2017,156538.0538
6/15/2017,98214.7455
6/16/2017,103617.7066
6/17/2017,9151.0841
6/18/2017,4555.5018
6/19/2017,32259.7265
6/20/2017,82216.9300
6/21/2017,65481.4574
6/22/2017,11936.9228
6/23/2017,53975.6863
6/24/2017,98526.4189
6/25/2017,9875.0601
6/26/2017,114536.7413
6/27/2017,26755.4479
6/28/2017,79294.3768
6/29/2017,4851.7201
6/30/2017,3879.0924
7/1/2017,96190.4283
7/2/2017,19856.7976
7/3/2017,148944.9877
7/4/2017,9939.1491
7/5/2017,131034.4239
7/6/2017,157628.3216
7/7/2017,30521.2107
7/8/2017,64704.8950
7/9/2017,105532.5326
7/10/2017,30983.5815
7/11/2017,97957.0007
7/12/2017,72020.5488
7/13/2017,27470.2918
7/14/2017,44244.3077
7/15/2017,173699.2266
7/16/2017,102886.1056
7/17/2017,7936.5351
7/18/2017,13919.1429
7/19/2017,43848.2523
7/20/2017,57926.8082
7/21/2017,47362.5365
7/22/2017,32196.1491
7/23/2017,145108.8823
7/24/2017,44198.7694
7/25/2017,153729.7092
7/26/2017,123549.6792
7/27/2017,98596.4143
7/28/2017,114683.8871
7/29/2017,71287.8992
7/30/2017,178193.0707
7/31/2017,105054.4552
8/1/2017,2644.0574
8/2/2017,36357.5242
8/3/2017,111810.1308
8/4/2017,109425.2550
8/5/2017,25783.2736
8/6/2017,59049.1766
8/7/2017,72776.0119
8/8/2017,47977.5745
8/9/2017,21023.9803
8/10/2017,66622.0125
8/11/2017,21063.5582
8/12/2017,78991.3382
8/13/2017,7444.2730
8/14/2017,108934.8818
8/15/2017,56469.7374
8/16/2017,53474.5711
8/17/2017,70948.0642
8/18/2017,104190.7357
8/19/2017,35621.9187
8/20/2017,116745.4427
8/21/2017,51691.9983
8/22/2017,104006.4472
8/23/2017,28134.5045
8/24/2017,85398.7789
8/25/2017,90155.4075
8/26/2017,105709.9454
8/27/2017,50206.8444
8/28/2017,83814.5425
8/29/2017,50054.9616
8/30/2017,119674.5413
8/31/2017,19246.5104
9/1/2017,101571.7468
9/2/2017,31715.8385
9/3/2017,100819.8099
9/4/2017,116218.7738
9/5/2017,52340.5458
9/6/2017,32644.8032
9/7/2017,109269.4160
9/8/2017,12049.7440
9/9/2017,15838.0268
9/10/2017,68097.0744
9/11/2017,88419.8220
9/12/2017,32350.4794
9/13/2017,118135.7749
9/14/2017,8890.6667
9/15/2017,118521.6531
9/16/2017,104323.1463
9/17/2017,9642.4047
9/18/2017,41706.4884
9/19/2017,5914.5548
9/20/2017,52915.5364
9/21/2017,102012.1748
9/22/2017,51660.8417
9/23/2017,96887.3159
9/24/2017,93526.8944
9/25/2017,23306.2349
9/26/2017,115544.2199
9/27/2017,48153.4229
9/28/2017,32173.7621
9/29/2017,72316.8018
9/30/2017,51392.0260
10/1/2017,73510.9752
10/2/2017,90978.3061
10/3/2017,7019.3524
10/4/2017,118131.4138
10/5/2017,60667.5875
10/6/2017,83231.2763
10/7/2017,83124.0500
10/8/2017,92388.6891
10/9/2017,56291.2121
10/10/2017,91099.0801
10/11/2017,113298.5799
10/12/2017,110840.7423
10/13/2017,20581.8422
10/14/2017,33685.6895
10/15/2017,31956.1470
10/16/2017,85874.8985
10/17/2017,46939.3710
10/18/2017,36012.5349
10/19/2017,18378.5041
10/20/2017,117534.8994
10/21/2017,120231.8622
10/22/2017,96777.8369
10/23/2017,103720.8400
10/24/2017,12959.7240
10/25/2017,63640.5302
10/26/2017,12534.3251
10/27/2017,62730.9752
10/28/2017,92239.7619
10/29/2017,49894.1097
10/30/2017,52571.1806
10/31/2017,68241.7026
11/1/2017,64600.4636
11/2/2017,91025.5479
11/3/2017,216661.0556
11/4/2017,186843.2975
11/5/2017,102291.2236
11/6/2017,203499.2858
11/7/2017,231499.9373
11/8/2017,89806.9136
11/9/2017,192695.4580
11/10/2017,132064.4821
11/11/2017,100384.4677
11/12/2017,141960.7554
11/13/2017,109484.1852
11/14/2017,183504.9367
11/15/2017,64409.1019
11/16/2017,71697.4922
11/17/2017,66070.7948
11/18/2017,224393.1901
11/19/2017,21488.3405
11/20/2017,42735.7245
